u,i,ts,label,idx,original_date
18,4118,1552264438.0,3,237,2019-03-11 00:33:58
2,4118,1552264439.0,3,238,2019-03-11 00:33:59
87,4118,1552264442.0,3,239,2019-03-11 00:34:02
88,4118,1552264443.0,3,240,2019-03-11 00:34:03
11,4118,1552264444.0,3,241,2019-03-11 00:34:04
16,4118,1552264444.0,3,242,2019-03-11 00:34:04
50,4139,1552264456.0,1,243,2019-03-11 00:34:16
11,4118,1552264460.0,3,244,2019-03-11 00:34:20
40,4118,1552264465.0,3,245,2019-03-11 00:34:25
4,4118,1552264474.0,3,246,2019-03-11 00:34:34
89,4118,1552264490.0,3,247,2019-03-11 00:34:50
42,4155,1552264491.0,0,248,2019-03-11 00:34:51
72,4118,1552264501.0,3,249,2019-03-11 00:35:01
78,4118,1552264508.0,3,250,2019-03-11 00:35:08
5,4118,1552264518.0,3,251,2019-03-11 00:35:18
46,4125,1552264553.0,1,252,2019-03-11 00:35:53
41,4121,1552264571.0,3,253,2019-03-11 00:36:11
90,4118,1552264588.0,3,254,2019-03-11 00:36:28
50,4127,1552264589.0,1,255,2019-03-11 00:36:29
53,4156,1552264610.0,3,256,2019-03-11 00:36:50
67,4143,1552264611.0,3,257,2019-03-11 00:36:51
21,4118,1552264624.0,3,258,2019-03-11 00:37:04
49,4118,1552264628.0,3,259,2019-03-11 00:37:08
42,4157,1552264638.0,0,260,2019-03-11 00:37:18
91,4118,1552264641.0,3,261,2019-03-11 00:37:21
23,4118,1552264655.0,3,262,2019-03-11 00:37:35
30,4118,1552264672.0,3,263,2019-03-11 00:37:52
50,4131,1552264683.0,1,264,2019-03-11 00:38:03
37,4118,1552264699.0,3,265,2019-03-11 00:38:19
56,4125,1552264706.0,1,266,2019-03-11 00:38:26
67,4143,1552264711.0,3,267,2019-03-11 00:38:31
30,4118,1552264721.0,3,268,2019-03-11 00:38:41
92,4118,1552264721.0,3,269,2019-03-11 00:38:41
37,4118,1552264721.0,3,270,2019-03-11 00:38:41
23,4118,1552264723.0,3,271,2019-03-11 00:38:43
87,4118,1552264724.0,3,272,2019-03-11 00:38:44
2,4118,1552264724.0,3,273,2019-03-11 00:38:44
18,4118,1552264725.0,3,274,2019-03-11 00:38:45
63,4158,1552264728.0,3,275,2019-03-11 00:38:48
11,4118,1552264732.0,3,276,2019-03-11 00:38:52
14,4118,1552264733.0,3,277,2019-03-11 00:38:53
11,4118,1552264734.0,3,278,2019-03-11 00:38:54
51,4118,1552264734.0,3,279,2019-03-11 00:38:54
40,4118,1552264734.0,3,280,2019-03-11 00:38:54
13,4118,1552264736.0,3,281,2019-03-11 00:38:56
7,4118,1552264737.0,3,282,2019-03-11 00:38:57
27,4118,1552264751.0,3,283,2019-03-11 00:39:11
50,4139,1552264757.0,1,284,2019-03-11 00:39:17
71,4118,1552264760.0,3,285,2019-03-11 00:39:20
35,4118,1552264764.0,3,286,2019-03-11 00:39:24
70,4118,1552264765.0,3,287,2019-03-11 00:39:25
93,4118,1552264787.0,3,288,2019-03-11 00:39:47
20,4118,1552264788.0,3,289,2019-03-11 00:39:48
40,4118,1552264792.0,3,290,2019-03-11 00:39:52
23,4118,1552264815.0,3,291,2019-03-11 00:40:15
48,4118,1552264829.0,3,292,2019-03-11 00:40:29
4,4118,1552264830.0,3,293,2019-03-11 00:40:30
