metric,n,mean_agg_bitransformer,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_c2_precision,25,0.8193721951717022,0.7359133684026036,-0.08345882676909853,-0.24224698538093753,0.07532933184274045,-0.2169564204658045,-1.0847821023290225,0.2887952730916545,106.0,0.33038694185494255,1.0,
test_c3_precision,25,0.9880443380732414,0.9878541001714882,-0.0001902379017532363,-0.004435577663457164,0.004055101859950691,-0.018497069908866355,-0.09248534954433177,0.9270801211837147,159.0,0.936802864074707,1.0,
test_c0_auc,25,0.9880345816061264,0.989869234876695,0.0018346532705683627,-0.0020743425526074393,0.005743649093744165,0.19373457621839468,0.9686728810919734,0.34236970668251615,141.0,0.5782062411308289,1.0,
test_c1_auc,25,0.9978594445290685,0.9900517085554708,-0.007807735973597385,-0.018489254109919542,0.0028737821627247747,-0.30172443354625056,-1.5086221677312526,0.14444824149150157,95.0,0.1909265697823631,1.0,
test_c2_auc,25,0.9999810272425538,0.9999914029692821,1.0375726728444334e-05,-3.2576739558996774e-05,5.3328193015885435e-05,0.0997123067503255,0.4985615337516275,0.6226269319232466,5.0,1.0,1.0,
test_c3_auc,25,0.9849235439467745,0.9896189859870507,0.004695442040276218,-0.00359960221740267,0.012990486297955108,0.23365556040675178,1.1682778020337587,0.25416939360262797,161.0,0.978915274143219,1.0,
test_c0_recall,25,0.926453172205438,0.9453293051359517,0.01887613293051362,-0.003318568231214715,0.04107083409224196,0.35106058261838474,1.7553029130919235,0.09196588319841394,90.0,0.051055146739371574,1.0,
test_c1_recall,25,0.9718019801980199,0.8967920792079208,-0.07500990099009903,-0.14150105609102795,-0.00851874588917012,-0.4656644226629269,-2.3283221133146346,0.02864597397264527,50.0,0.07012823687187793,1.0,
test_c2_recall,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
test_c3_recall,25,0.9224289862391112,0.9108900391364726,-0.011538947102638551,-0.04485284252814675,0.02177494832286965,-0.1429746718217914,-0.7148733591089571,0.4815838786824554,122.0,0.4237107971667934,1.0,
