comparison,metric,n,dz_sequential,p_sequential,dz_subsampled_mean,dz_subsampled_q25,dz_subsampled_q75,prob_significant,wilcoxon_floor
BiTA vs BiGRU,test_auc_historical,16,0.18733475286698129,0.4652431353798162,0.34788601038873085,0.21984228666168512,0.45343329021567347,0.13,3.0517578125e-05
BiTA vs BiGRU,test_auc_historical,17,0.2143544099243528,0.38988839416389226,0.33625589555384616,0.2258951991360545,0.4348658730843833,0.105,1.52587890625e-05
BiTA vs BiGRU,test_auc_historical,18,0.28037542952767464,0.2505795042934447,0.3392207693401591,0.23210906222461414,0.4359531675513966,0.135,7.62939453125e-06
BiTA vs BiGRU,test_auc_historical,19,0.305247864160972,0.19995040516803964,0.3407212094890342,0.25074645369732673,0.4256396664839569,0.15,3.814697265625e-06
BiTA vs BiGRU,test_auc_historical,20,0.3626180797414412,0.12134950658720163,0.33429560333519037,0.2513524462186826,0.3892118744431501,0.1375,1.9073486328125e-06
BiTA vs BiGRU,test_auc_historical,21,0.31213656603420614,0.16804372202782278,0.3271598893890111,0.256841778373202,0.3834338548012084,0.105,9.5367431640625e-07
BiTA vs BiGRU,test_auc_historical,22,0.28357072689340396,0.19776290063647706,0.33854722347488136,0.27469866290283756,0.3934011869187552,0.1475,4.76837158203125e-07
BiTA vs BiGRU,test_auc_historical,23,0.295712273256153,0.1701468676975411,0.3363877573008113,0.2831871352690879,0.3685134441768729,0.13,2.384185791015625e-07
BiTA vs BiGRU,test_auc_historical,24,0.30962885797054945,0.1429260659810251,0.33365955444970824,0.30151196837869165,0.36096386157046534,0.075,1.1920928955078125e-07
BiTA vs BiGRU,test_auc_historical,25,0.3328593349482857,0.10905701928786746,0.3328593349482857,0.3328593349482857,0.33285933494828573,0.0,5.960464477539063e-08
BiTA vs Transformer,test_auc_historical,3,0.4843223984910305,0.4898292383198969,0.7798368622570336,0.033618150821948065,0.9438868005699124,0.06,0.25
BiTA vs Transformer,test_auc_historical,4,0.7757746630266121,0.21856822276169086,0.5090016264616909,0.02959562636753624,0.8891274128274469,0.055,0.125
BiTA vs Transformer,test_auc_historical,5,0.7968543210885941,0.14936707579531547,0.5348409221152263,0.1694713660245199,0.8412984028716061,0.0775,0.0625
BiTA vs Transformer,test_auc_historical,6,0.979617070977517,0.06165417001537095,0.48606719082642186,0.13010222701511026,0.8040798004375496,0.115,0.03125
BiTA vs Transformer,test_auc_historical,7,0.7897933648757797,0.08164378869391399,0.45995018572983765,0.13303401936644624,0.7413416280472531,0.1475,0.015625
BiTA vs Transformer,test_auc_historical,8,0.7299195872923134,0.07784345711745755,0.4100311533300923,0.14755115904777016,0.6484777767913575,0.1225,0.0078125
BiTA vs Transformer,test_auc_historical,9,0.6963438053617375,0.0701236102309121,0.3905776646046353,0.17172190152228606,0.6128694767615832,0.1575,0.00390625
BiTA vs Transformer,test_auc_historical,10,0.6248599651707327,0.07957272746440587,0.3769589376740733,0.18815765958073502,0.5339215597798191,0.14,0.001953125
BiTA vs Transformer,test_auc_historical,11,0.6821898595085504,0.047162355637459866,0.38683487408723666,0.1977480918807597,0.5228291303008221,0.155,0.0009765625
BiTA vs Transformer,test_auc_historical,12,0.42897499403772704,0.16536375053405333,0.39582986459006336,0.22307498146379753,0.5464751947858127,0.195,0.00048828125
BiTA vs Transformer,test_auc_historical,13,0.2435560875943895,0.39710242158577125,0.36567413952415945,0.20627967152315319,0.5017153950803735,0.1375,0.000244140625
BiTA vs Transformer,test_auc_historical,14,0.27881261384672795,0.3158581319828055,0.3488981325949517,0.21470507500261837,0.47180787939828006,0.1075,0.0001220703125
BiTA vs Transformer,test_auc_historical,15,0.329351380752162,0.2228662784953786,0.3496734278963842,0.21404616798473525,0.4634579455283581,0.13,6.103515625e-05
BiTA vs Transformer,test_auc_historical,16,0.2588334981643646,0.3169168230468815,0.3661707336956173,0.24284711700805056,0.47439211126797676,0.17,3.0517578125e-05
BiTA vs Transformer,test_auc_historical,17,0.32413501725192373,0.20010038999894159,0.36151605255232033,0.2660781861943711,0.44707488411945745,0.145,1.52587890625e-05
