metric,n,mean_cat_tgn_mean,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_c3_precision,10,0.988737357068884,0.9897694007733915,0.001032043704507457,-0.005874024880495156,0.00793811228951007,0.10690302046611921,0.33805703342453186,0.743072217640547,19.0,0.431640625,1.0,
test_c0_auc,10,0.9874623972458372,0.9888273378767651,0.0013649406309280908,-0.015498098964207967,0.018227980226064148,0.05790294810527531,0.18310519925120108,0.8587739870816382,12.0,0.130859375,1.0,
test_c1_auc,10,0.9975469713125159,0.9976802843361259,0.00013331302361000442,-0.006299996953618023,0.006566623000838031,0.014823845335109786,0.04687711494100892,0.9636348838083748,27.0,1.0,1.0,
test_c2_auc,10,0.9999998289715375,1.0,1.710284625588976e-07,-2.1586479906107713e-07,5.579217241788723e-07,0.31622776601683794,1.0,0.3434363961379136,0.0,1.0,1.0,
test_c3_auc,10,0.9866174401953653,0.9924938339798743,0.005876393784508926,-0.009197023730033484,0.020949811299051338,0.2788829322810119,0.8819052665544949,0.4007679046304512,27.0,1.0,1.0,
test_c0_recall,10,0.9445921450151058,0.9589123867069486,0.014320241691842862,-0.004303504924586164,0.03294398830827189,0.5500549379463722,1.7394264421331165,0.11595567900684166,13.0,0.16015625,1.0,
test_c1_recall,10,0.9900990099009901,0.8647524752475247,-0.12534653465346537,-0.2617674034885005,0.011074334181569778,-0.657285868134125,-2.0785204171449227,0.06742668348731838,5.0,0.078125,1.0,
test_c2_recall,10,0.9971264367816092,1.0,0.0028735632183907955,-0.0036268883988454033,0.009374014835626995,0.316227766016838,1.0,0.3434363961379136,0.0,1.0,1.0,
test_c3_recall,10,0.8931700542860751,0.9055043555106679,0.012334301224592826,-0.04115913327811822,0.06582773572730388,0.16494412152369337,0.5215991106704739,0.6145410390700882,22.0,1.0,1.0,
nntest_c0_acc,10,0.8617283950617285,0.9069135802469136,0.04518518518518524,-0.017706208883965895,0.10807657925433636,0.5139579865926465,1.6252778592670454,0.13854879062799316,14.0,0.193359375,1.0,
nntest_c1_acc,10,0.9805970149253731,0.8611940298507463,-0.11940298507462688,-0.2780876308556023,0.03928166070634853,-0.538273564819508,-1.7021704690879262,0.12292975111598868,9.0,0.25,1.0,
nntest_c2_acc,10,0.9,1.0,0.1,-0.12621571627982048,0.3262157162798205,0.31622776601683794,1.0,0.3434363961379136,0.0,1.0,1.0,
nntest_c3_acc,10,0.8964429530201343,0.9134731543624162,0.017030201342281892,-0.030342731570968687,0.06440313425553247,0.2571652500929417,0.8132279253405238,0.4370715239840588,22.0,0.625,1.0,
nntest_c0_precision,10,0.6391271240989356,0.5334903897257313,-0.10563673437320423,-0.2749946897005231,0.06372122095411462,-0.44620264405064297,-1.4110166531894113,0.19185865057384024,18.0,0.375,1.0,
nntest_c1_precision,10,0.571853039765905,0.859126610701874,0.287273570935969,-0.008432313186673035,0.582979455058611,0.6949578750575961,2.1976497630527234,0.05555307133887797,6.0,0.05078125,1.0,
