DetectTime,FlowCount,SourceIP,TargetIP,Category,Proto,Port
2019-03-15 01:38:00+01:00,10455.0,77.123.201.7,143.166.113.139,Anomaly.Traffic,tcp,3502.0
2019-03-15 01:38:57+01:00,19609.0,42.147.249.97,143.166.228.226,Anomaly.Traffic,tcp,3927.0
2019-03-15 00:39:24+00:00,872.0,224.177.31.162,12.125.12.13,Availability.DDoS,udp,OtherPort
2019-03-15 01:39:24+01:00,8544.0,69.255.83.38,142.229.19.242,Anomaly.Traffic,tcp,3385.0
2019-03-15 00:39:14+00:00,7800.0,185.186.169.243,142.252.121.38,Recon.Scanning,tcp,OtherPort
2019-03-15 00:38:08+00:00,1250.0,253.70.159.203,142.252.76.214,Recon.Scanning,tcp,OtherPort
2019-03-15 01:32:55+01:00,6.0,69.255.91.67,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:30:54+01:00,7.0,71.48.17.49,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:28:55+01:00,10.0,185.84.109.191,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-15 01:39:48+01:00,4747.0,67.205.216.43,143.166.191.203,Anomaly.Traffic,tcp,20005.0
2019-03-15 01:29:19+01:00,5.0,86.99.210.76,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:29:10+01:00,4.0,156.228.12.215,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:28:45+01:00,9.0,71.48.17.51,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:29:33+01:00,14.0,67.186.25.46,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:29:04+01:00,4.0,241.106.225.68,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:28:41+01:00,20.0,78.234.46.182,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:30:50+01:00,4.0,153.110.160.195,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:31:41+01:00,10.0,185.185.131.198,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:30:36+01:00,11.0,183.254.237.98,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:28:35+01:00,17.0,82.56.109.58,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:28:42+01:00,7.0,252.172.205.244,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:40:12+01:00,9798.0,42.147.225.111,143.166.101.117,Anomaly.Traffic,tcp,3652.0
2019-03-15 01:40:28+01:00,10770.0,77.123.201.7,143.166.114.254,Anomaly.Traffic,tcp,3501.0
2019-03-15 01:41:16+01:00,10472.0,77.123.201.7,143.166.114.254,Anomaly.Traffic,tcp,3501.0
2019-03-15 01:43:06+01:00,8390.0,42.147.230.217,143.166.126.203,Anomaly.Traffic,tcp,4453.0
2019-03-15 01:43:06+01:00,19453.0,42.147.249.97,143.166.178.36,Anomaly.Traffic,tcp,3927.0
2019-03-15 01:43:41+01:00,8372.0,69.255.83.38,142.229.19.26,Anomaly.Traffic,tcp,3385.0
2019-03-15 01:44:04+01:00,4908.0,67.205.216.43,143.166.252.241,Anomaly.Traffic,tcp,20061.0
2019-03-15 01:44:16+01:00,9533.0,42.147.225.111,143.166.38.154,Anomaly.Traffic,tcp,3685.0
2019-03-15 01:44:27+01:00,11065.0,77.123.201.7,143.166.202.2,Anomaly.Traffic,tcp,3501.0
2019-03-15 01:44:27+01:00,12289.0,231.35.140.51,143.166.111.214,Anomaly.Traffic,tcp,4729.0
